API,Description,Example
"tf.data.experimental.shuffle_and_repeat(
    buffer_size, count=None, seed=None
)
",[],"d = tf.data.Dataset.from_tensor_slices([1, 2, 3])
d = d.apply(tf.data.experimental.shuffle_and_repeat(2, count=2))
[elem.numpy() for elem in d] # doctest: +SKIP
[2, 3, 1, 1, 3, 2]"
"tf.data.experimental.snapshot(
    path, compression='AUTO', reader_func=None, shard_func=None
)
",[],"dataset = ...
dataset = dataset.enumerate()
dataset = dataset.apply(tf.data.experimental.snapshot(""/path/to/snapshot/dir"",
    shard_func=lambda x, y: x % NUM_SHARDS, ...))
dataset = dataset.map(lambda x, y: y)
"
"tf.data.experimental.table_from_dataset(
    dataset=None,
    num_oov_buckets=0,
    vocab_size=None,
    default_value=None,
    hasher_spec=lookup_ops.FastHashSpec,
    key_dtype=tf.dtypes.string,
    name=None
)
",[],"keys = tf.data.Dataset.range(100)
values = tf.data.Dataset.range(100).map(
    lambda x: tf.strings.as_string(x * 2))
ds = tf.data.Dataset.zip((keys, values))
table = tf.data.experimental.table_from_dataset(
                              ds, default_value='n/a', key_dtype=tf.int64)
table.lookup(tf.constant([0, 1, 2], dtype=tf.int64)).numpy()
array([b'0', b'2', b'4'], dtype=object)"
"tf.data.experimental.take_while(
    predicate
)
","[['A transformation that stops dataset iteration based on a ', 'predicate', '. (deprecated)']]",[]
"tf.data.experimental.to_variant(
    dataset
)
",[],[]
"tf.device(
    device_name
)
",[],"with tf.device('/job:foo'):
  # ops created here have devices with /job:foo
  with tf.device('/job:bar/task:0/device:gpu:2'):
    # ops created here have the fully specified device above
  with tf.device('/device:gpu:1'):
    # ops created here have the device '/job:foo/device:gpu:1'
"
"tf.distribute.HierarchicalCopyAllReduce(
    num_packs=1
)
","[['Inherits From: ', 'CrossDeviceOps']]","  strategy = tf.distribute.MirroredStrategy(
    cross_device_ops=tf.distribute.HierarchicalCopyAllReduce())
"
"tf.distribute.InputContext(
    num_input_pipelines=1, input_pipeline_id=0, num_replicas_in_sync=1
)
",[],"get_per_replica_batch_size(
    global_batch_size
)
"
"tf.distribute.InputOptions(
    experimental_fetch_to_device=None,
    experimental_replication_mode=tf.distribute.InputReplicationMode.PER_WORKER,
    experimental_place_dataset_on_device=False,
    experimental_per_replica_buffer_size=1
)
","[['Run options for ', 'experimental_distribute_dataset(s_from_function)', '.']]","# Setup TPUStrategy
resolver = tf.distribute.cluster_resolver.TPUClusterResolver(tpu='')
tf.config.experimental_connect_to_cluster(resolver)
tf.tpu.experimental.initialize_tpu_system(resolver)
strategy = tf.distribute.TPUStrategy(resolver)

dataset = tf.data.Dataset.range(16)
distributed_dataset_on_host = (
    strategy.experimental_distribute_dataset(
        dataset,
        tf.distribute.InputOptions(
            experimental_replication_mode=
            experimental_replication_mode.PER_WORKER,
            experimental_place_dataset_on_device=False,
            experimental_per_replica_buffer_size=1)))
"
"tf.distribute.MirroredStrategy(
    devices=None, cross_device_ops=None
)
","[['Inherits From: ', 'Strategy']]","strategy = tf.distribute.MirroredStrategy([""GPU:0"", ""GPU:1""])
with strategy.scope():
  x = tf.Variable(1.)
x
MirroredVariable:{
  0: <tf.Variable ... shape=() dtype=float32, numpy=1.0>,
  1: <tf.Variable ... shape=() dtype=float32, numpy=1.0>
}"
"tf.distribute.MultiWorkerMirroredStrategy(
    cluster_resolver=None, communication_options=None
)
","[['Inherits From: ', 'Strategy']]","TF_CONFIG = '{""cluster"": {""worker"": [""localhost:12345"", ""localhost:23456""]}, ""task"": {""type"": ""worker"", ""index"": 0} }'
"
"tf.distribute.NcclAllReduce(
    num_packs=1
)
","[['Inherits From: ', 'CrossDeviceOps']]","  strategy = tf.distribute.MirroredStrategy(
    cross_device_ops=tf.distribute.NcclAllReduce())
"
"tf.distribute.OneDeviceStrategy(
    device
)
","[['Inherits From: ', 'Strategy']]","strategy = tf.distribute.OneDeviceStrategy(device=""/gpu:0"")

with strategy.scope():
  v = tf.Variable(1.0)
  print(v.device)  # /job:localhost/replica:0/task:0/device:GPU:0

def step_fn(x):
  return x * 2

result = 0
for i in range(10):
  result += strategy.run(step_fn, args=(i,))
print(result)  # 90
"
"tf.distribute.experimental.ParameterServerStrategy(
    cluster_resolver, variable_partitioner=None
)
","[['Inherits From: ', 'Strategy']]","# Prepare a strategy to use with the cluster and variable partitioning info.
strategy = tf.distribute.experimental.ParameterServerStrategy(
    cluster_resolver=...,
    variable_partitioner=...)
coordinator = tf.distribute.experimental.coordinator.ClusterCoordinator(
    strategy=strategy)

# Prepare a distribute dataset that will place datasets on the workers.
distributed_dataset = coordinator.create_per_worker_dataset(dataset_fn=...)

with strategy.scope():
  model = ...
  optimizer, metrics = ...  # Keras optimizer/metrics are great choices
  checkpoint = tf.train.Checkpoint(model=model, optimizer=optimizer)
  checkpoint_manager = tf.train.CheckpointManager(
      checkpoint, checkpoint_dir, max_to_keep=2)
  # `load_checkpoint` infers initial epoch from `optimizer.iterations`.
  initial_epoch = load_checkpoint(checkpoint_manager) or 0

@tf.function
def worker_fn(iterator):

  def replica_fn(inputs):
    batch_data, labels = inputs
    # calculate gradient, applying gradient, metrics update etc.

  strategy.run(replica_fn, args=(next(iterator),))

for epoch in range(initial_epoch, num_epoch):
  distributed_iterator = iter(distributed_dataset)  # Reset iterator state.
  for step in range(steps_per_epoch):

    # Asynchronously schedule the `worker_fn` to be executed on an arbitrary
    # worker. This call returns immediately.
    coordinator.schedule(worker_fn, args=(distributed_iterator,))

  # `join` blocks until all scheduled `worker_fn`s finish execution. Once it
  # returns, we can read the metrics and save checkpoints as needed.
  coordinator.join()
  logging.info('Metric result: %r', metrics.result())
  train_accuracy.reset_states()
  checkpoint_manager.save()
"
"tf.distribute.ReductionToOneDevice(
    reduce_to_device=None, accumulation_fn=None
)
","[['Inherits From: ', 'CrossDeviceOps']]","  strategy = tf.distribute.MirroredStrategy(
    cross_device_ops=tf.distribute.ReductionToOneDevice())
"
"tf.distribute.ReplicaContext(
    strategy, replica_id_in_sync_group
)
",[],"strategy = tf.distribute.MirroredStrategy(['GPU:0', 'GPU:1'])
def func():
  replica_context = tf.distribute.get_replica_context()
  return replica_context.replica_id_in_sync_group
strategy.run(func)
PerReplica:{
  0: <tf.Tensor: shape=(), dtype=int32, numpy=0>,
  1: <tf.Tensor: shape=(), dtype=int32, numpy=1>
}"
"tf.distribute.RunOptions(
    experimental_enable_dynamic_batch_size=True,
    experimental_bucketizing_dynamic_shape=False,
    experimental_xla_options=None
)
","[['Run options for ', 'strategy.run', '.']]",[]
"tf.distribute.Server(
    server_or_cluster_def,
    job_name=None,
    task_index=None,
    protocol=None,
    config=None,
    start=True
)
",[],"server = tf.distribute.Server(...)
with tf.compat.v1.Session(server.target):
  # ...
"
"tf.distribute.Strategy(
    extended
)
",[],"with my_strategy.scope():
  @tf.function
  def distribute_train_epoch(dataset):
    def replica_fn(input):
      # process input and return result
      return result

    total_result = 0
    for x in dataset:
      per_replica_result = my_strategy.run(replica_fn, args=(x,))
      total_result += my_strategy.reduce(tf.distribute.ReduceOp.SUM,
                                         per_replica_result, axis=None)
    return total_result

  dist_dataset = my_strategy.experimental_distribute_dataset(dataset)
  for _ in range(EPOCHS):
    train_result = distribute_train_epoch(dist_dataset)
"
"tf.distribute.StrategyExtended(
    container_strategy
)
",[],"batch_reduce_to(
    reduce_op, value_destination_pairs, options=None
)
"
"tf.distribute.TPUStrategy(
    tpu_cluster_resolver=None,
    experimental_device_assignment=None,
    experimental_spmd_xla_partitioning=False
)
","[['Inherits From: ', 'Strategy']]","resolver = tf.distribute.cluster_resolver.TPUClusterResolver(tpu='')
tf.config.experimental_connect_to_cluster(resolver)
tf.tpu.experimental.initialize_tpu_system(resolver)
strategy = tf.distribute.TPUStrategy(resolver)"
"tf.distribute.cluster_resolver.GCEClusterResolver(
    project,
    zone,
    instance_group,
    port,
    task_type='worker',
    task_id=0,
    rpc_layer='grpc',
    credentials='default',
    service=None
)
","[['Inherits From: ', 'ClusterResolver']]","  # On worker 0
  cluster_resolver = GCEClusterResolver(""my-project"", ""us-west1"",
                                        ""my-instance-group"",
                                        task_type=""worker"", task_id=0)
  strategy = tf.distribute.experimental.MultiWorkerMirroredStrategy(
      cluster_resolver=cluster_resolver)

  # On worker 1
  cluster_resolver = GCEClusterResolver(""my-project"", ""us-west1"",
                                        ""my-instance-group"",
                                        task_type=""worker"", task_id=1)
  strategy = tf.distribute.experimental.MultiWorkerMirroredStrategy(
      cluster_resolver=cluster_resolver)
"
"tf.distribute.cluster_resolver.KubernetesClusterResolver(
    job_to_label_mapping=None,
    tf_server_port=8470,
    rpc_layer='grpc',
    override_client=None
)
","[['Inherits From: ', 'ClusterResolver']]","  # On worker 0
  cluster_resolver = KubernetesClusterResolver(
      {""worker"": [""job-name=worker-cluster-a"", ""job-name=worker-cluster-b""]})
  cluster_resolver.task_type = ""worker""
  cluster_resolver.task_id = 0
  strategy = tf.distribute.experimental.MultiWorkerMirroredStrategy(
      cluster_resolver=cluster_resolver)

  # On worker 1
  cluster_resolver = KubernetesClusterResolver(
      {""worker"": [""job-name=worker-cluster-a"", ""job-name=worker-cluster-b""]})
  cluster_resolver.task_type = ""worker""
  cluster_resolver.task_id = 1
  strategy = tf.distribute.experimental.MultiWorkerMirroredStrategy(
      cluster_resolver=cluster_resolver)
"
"tf.distribute.cluster_resolver.SimpleClusterResolver(
    cluster_spec,
    master='',
    task_type=None,
    task_id=None,
    environment='',
    num_accelerators=None,
    rpc_layer=None
)
","[['Inherits From: ', 'ClusterResolver']]","  cluster = tf.train.ClusterSpec({""worker"": [""worker0.example.com:2222"",
                                             ""worker1.example.com:2222""]})

  # On worker 0
  cluster_resolver = SimpleClusterResolver(cluster, task_type=""worker"",
                                           task_id=0,
                                           num_accelerators={""GPU"": 8},
                                           rpc_layer=""grpc"")
  strategy = tf.distribute.experimental.MultiWorkerMirroredStrategy(
      cluster_resolver=cluster_resolver)

  # On worker 1
  cluster_resolver = SimpleClusterResolver(cluster, task_type=""worker"",
                                           task_id=1,
                                           num_accelerators={""GPU"": 8},
                                           rpc_layer=""grpc"")
  strategy = tf.distribute.experimental.MultiWorkerMirroredStrategy(
      cluster_resolver=cluster_resolver)
"
"tf.distribute.cluster_resolver.SlurmClusterResolver(
    jobs=None,
    port_base=8888,
    gpus_per_node=None,
    gpus_per_task=None,
    tasks_per_node=None,
    auto_set_gpu=True,
    rpc_layer='grpc'
)
","[['Inherits From: ', 'ClusterResolver']]","cluster_spec = tf.train.ClusterSpec({
    ""ps"": [""localhost:2222"", ""localhost:2223""],
    ""worker"": [""localhost:2224"", ""localhost:2225"", ""localhost:2226""]
})

# SimpleClusterResolver is used here for illustration; other cluster
# resolvers may be used for other source of task type/id.
simple_resolver = SimpleClusterResolver(cluster_spec, task_type=""worker"",
                                        task_id=0)

...

if cluster_resolver.task_type == 'worker' and cluster_resolver.task_id == 0:
  # Perform something that's only applicable on 'worker' type, id 0. This
  # block will run on this particular instance since we've specified this
  # task to be a 'worker', id 0 in above cluster resolver.
else:
  # Perform something that's only applicable on other ids. This block will
  # not run on this particular instance.
"
"tf.distribute.cluster_resolver.TFConfigClusterResolver(
    task_type=None, task_id=None, rpc_layer=None, environment=None
)
","[['Inherits From: ', 'ClusterResolver']]","  os.environ['TF_CONFIG'] = json.dumps({
    'cluster': {
        'worker': [""localhost:12345"", ""localhost:23456""]
    },
    'task': {'type': 'worker', 'index': 0}
  })
"
"tf.distribute.cluster_resolver.TPUClusterResolver(
    tpu=None,
    zone=None,
    project=None,
    job_name='worker',
    coordinator_name=None,
    coordinator_address=None,
    credentials='default',
    service=None,
    discovery_url=None
)
","[['Inherits From: ', 'ClusterResolver']]","cluster_spec = tf.train.ClusterSpec({
    ""ps"": [""localhost:2222"", ""localhost:2223""],
    ""worker"": [""localhost:2224"", ""localhost:2225"", ""localhost:2226""]
})

# SimpleClusterResolver is used here for illustration; other cluster
# resolvers may be used for other source of task type/id.
simple_resolver = SimpleClusterResolver(cluster_spec, task_type=""worker"",
                                        task_id=0)

...

if cluster_resolver.task_type == 'worker' and cluster_resolver.task_id == 0:
  # Perform something that's only applicable on 'worker' type, id 0. This
  # block will run on this particular instance since we've specified this
  # task to be a 'worker', id 0 in above cluster resolver.
else:
  # Perform something that's only applicable on other ids. This block will
  # not run on this particular instance.
"
"tf.distribute.cluster_resolver.UnionResolver(
    *args, **kwargs
)
","[['Inherits From: ', 'ClusterResolver']]","  cluster_0 = tf.train.ClusterSpec({""worker"": [""worker0.example.com:2222"",
                                               ""worker1.example.com:2222""]})
  cluster_resolver_0 = SimpleClusterResolver(cluster, task_type=""worker"",
                                             task_id=0,
                                             rpc_layer=""grpc"")

  cluster_1 = tf.train.ClusterSpec({""ps"": [""ps0.example.com:2222"",
                                           ""ps1.example.com:2222""]})
  cluster_resolver_1 = SimpleClusterResolver(cluster, task_type=""ps"",
                                             task_id=0,
                                             rpc_layer=""grpc"")

  # Its task type would be ""worker"".
  cluster_resolver = UnionClusterResolver(cluster_resolver_0,
                                          cluster_resolver_1)
"
"tf.distribute.experimental.coordinator.ClusterCoordinator(
    strategy
)
",[],"create_per_worker_dataset(
    dataset_fn
)
"
"tf.distribute.experimental.coordinator.PerWorkerValues(
    values
)
",[],[]
"tf.distribute.experimental.CentralStorageStrategy(
    compute_devices=None, parameter_device=None
)
","[['Inherits From: ', 'Strategy']]","strategy = tf.distribute.experimental.CentralStorageStrategy()
# Create a dataset
ds = tf.data.Dataset.range(5).batch(2)
# Distribute that dataset
dist_dataset = strategy.experimental_distribute_dataset(ds)

with strategy.scope():
  @tf.function
  def train_step(val):
    return val + 1

  # Iterate over the distributed dataset
  for x in dist_dataset:
    # process dataset elements
    strategy.run(train_step, args=(x,))
"
"tf.distribute.experimental.CollectiveHints(
    bytes_per_pack=0, timeout_seconds=None
)
",[],"hints = tf.distribute.experimental.CollectiveHints(
    bytes_per_pack=50 * 1024 * 1024)
grads = tf.distribute.get_replica_context().all_reduce(
    'sum', grads, experimental_hints=hints)
optimizer.apply_gradients(zip(grads, vars),
    experimental_aggregate_gradients=False)
"
"tf.distribute.experimental.CommunicationOptions(
    bytes_per_pack=0,
    timeout_seconds=None,
    implementation=tf.distribute.experimental.CollectiveCommunication.AUTO
)
",[],"options = tf.distribute.experimental.CommunicationOptions(
    bytes_per_pack=50 * 1024 * 1024,
    timeout_seconds=120.0,
    implementation=tf.distribute.experimental.CommunicationImplementation.NCCL
)
grads = tf.distribute.get_replica_context().all_reduce(
    'sum', grads, options=options)
optimizer.apply_gradients(zip(grads, vars),
    experimental_aggregate_gradients=False)
"
"tf.distribute.experimental.MultiWorkerMirroredStrategy(
    communication=tf.distribute.experimental.CollectiveCommunication.AUTO,
    cluster_resolver=None
)
","[['Inherits From: ', 'MultiWorkerMirroredStrategy', ', ', 'Strategy']]","TF_CONFIG = '{""cluster"": {""worker"": [""localhost:12345"", ""localhost:23456""]}, ""task"": {""type"": ""worker"", ""index"": 0} }'
"
"tf.distribute.experimental.ParameterServerStrategy(
    cluster_resolver, variable_partitioner=None
)
","[['Inherits From: ', 'Strategy']]","# Prepare a strategy to use with the cluster and variable partitioning info.
strategy = tf.distribute.experimental.ParameterServerStrategy(
    cluster_resolver=...,
    variable_partitioner=...)
coordinator = tf.distribute.experimental.coordinator.ClusterCoordinator(
    strategy=strategy)

# Prepare a distribute dataset that will place datasets on the workers.
distributed_dataset = coordinator.create_per_worker_dataset(dataset_fn=...)

with strategy.scope():
  model = ...
  optimizer, metrics = ...  # Keras optimizer/metrics are great choices
  checkpoint = tf.train.Checkpoint(model=model, optimizer=optimizer)
  checkpoint_manager = tf.train.CheckpointManager(
      checkpoint, checkpoint_dir, max_to_keep=2)
  # `load_checkpoint` infers initial epoch from `optimizer.iterations`.
  initial_epoch = load_checkpoint(checkpoint_manager) or 0

@tf.function
def worker_fn(iterator):

  def replica_fn(inputs):
    batch_data, labels = inputs
    # calculate gradient, applying gradient, metrics update etc.

  strategy.run(replica_fn, args=(next(iterator),))

for epoch in range(initial_epoch, num_epoch):
  distributed_iterator = iter(distributed_dataset)  # Reset iterator state.
  for step in range(steps_per_epoch):

    # Asynchronously schedule the `worker_fn` to be executed on an arbitrary
    # worker. This call returns immediately.
    coordinator.schedule(worker_fn, args=(distributed_iterator,))

  # `join` blocks until all scheduled `worker_fn`s finish execution. Once it
  # returns, we can read the metrics and save checkpoints as needed.
  coordinator.join()
  logging.info('Metric result: %r', metrics.result())
  train_accuracy.reset_states()
  checkpoint_manager.save()
"
"tf.distribute.experimental.PreemptionCheckpointHandler(
    cluster_resolver,
    checkpoint_or_checkpoint_manager,
    checkpoint_dir=None,
    termination_config=None
)
",[],"strategy = tf.distribute.MultiWorkerMirroredStrategy()

with strategy.scope():
  dataset, model, optimizer = ...

  checkpoint = tf.train.Checkpoint(optimizer=optimizer, model=model)

  preemption_handler = tf.distribute.experimental.PreemptionCheckpointHandler(cluster_resolver, checkpoint, checkpoint_directory)

  # preemption_handler.total_run_calls will be restored to its saved value if
  # training is restored after interruption.
  for epoch in range(preemption_handler.total_run_calls // STEPS_PER_EPOCH, num_epochs):
    for step in range(preemption_handler.total_run_calls % STEPS_PER_EPOCH, STEPS_PER_EPOCH):
      # distributed_train_step is a single-step training function wrapped by tf.distribute.Strategy.run.
      loss += preemption_handler.run(distributed_train_step, args=(next(dataset),))
"
"tf.distribute.experimental.TPUStrategy(
    tpu_cluster_resolver=None, device_assignment=None
)
","[['Inherits From: ', 'Strategy']]","resolver = tf.distribute.cluster_resolver.TPUClusterResolver(tpu='')
tf.config.experimental_connect_to_cluster(resolver)
tf.tpu.experimental.initialize_tpu_system(resolver)
strategy = tf.distribute.experimental.TPUStrategy(resolver)"
"tf.distribute.experimental.TerminationConfig(
    termination_watcher_fn=None, exit_fn=None, grace_period=None
)
","[['Customization of ', 'PreemptionCheckpointHandler', ' for various platforms.']]",[]
"tf.distribute.experimental.ValueContext(
    replica_id_in_sync_group=0, num_replicas_in_sync=1
)
",[],[]
"tf.distribute.experimental.coordinator.ClusterCoordinator(
    strategy
)
",[],"create_per_worker_dataset(
    dataset_fn
)
"
"tf.distribute.experimental.coordinator.PerWorkerValues(
    values
)
",[],[]
"tf.distribute.experimental.partitioners.FixedShardsPartitioner(
    num_shards
)
","[['Inherits From: ', 'Partitioner']]","# standalone usage:
partitioner = FixedShardsPartitioner(num_shards=2)
partitions = partitioner(tf.TensorShape([10, 3]), tf.float32)
[2, 1]
# use in ParameterServerStrategy
# strategy = tf.distribute.experimental.ParameterServerStrategy(
#   cluster_resolver=cluster_resolver, variable_partitioner=partitioner)"
"tf.distribute.experimental.partitioners.MaxSizePartitioner(
    max_shard_bytes, max_shards=None, bytes_per_string=16
)
","[['Partitioner that keeps shards below ', 'max_shard_bytes', '.'], ['Inherits From: ', 'Partitioner']]","partitioner = MaxSizePartitioner(max_shard_bytes=4)
partitions = partitioner(tf.TensorShape([6, 1]), tf.float32)
[6, 1]
partitioner = MaxSizePartitioner(max_shard_bytes=4, max_shards=2)
partitions = partitioner(tf.TensorShape([6, 1]), tf.float32)
[2, 1]
partitioner = MaxSizePartitioner(max_shard_bytes=1024)
partitions = partitioner(tf.TensorShape([6, 1]), tf.float32)
[1, 1]
# use in ParameterServerStrategy
# strategy = tf.distribute.experimental.ParameterServerStrategy(
#   cluster_resolver=cluster_resolver, variable_partitioner=partitioner)"
"tf.distribute.experimental.partitioners.MinSizePartitioner(
    min_shard_bytes=(256 << 10), max_shards=1, bytes_per_string=16
)
","[['Inherits From: ', 'Partitioner']]","partitioner = MinSizePartitioner(min_shard_bytes=4, max_shards=2)
partitions = partitioner(tf.TensorShape([6, 1]), tf.float32)
[2, 1]
partitioner = MinSizePartitioner(min_shard_bytes=4, max_shards=10)
partitions = partitioner(tf.TensorShape([6, 1]), tf.float32)
[6, 1]
# use in ParameterServerStrategy
# strategy = tf.distribute.experimental.ParameterServerStrategy(
#   cluster_resolver=cluster_resolver, variable_partitioner=partitioner)"
"tf.distribute.experimental_set_strategy(
    strategy
)
","[['Set a ', 'tf.distribute.Strategy', ' as current without ', 'with strategy.scope()', '.']]","tf.distribute.experimental_set_strategy(strategy1)
f()
tf.distribute.experimental_set_strategy(strategy2)
g()
tf.distribute.experimental_set_strategy(None)
h()
"
"tf.math.divide(
    x, y, name=None
)
","[['Computes Python style division of ', 'x', ' by ', 'y', '.']]","x = tf.constant([16, 12, 11])
y = tf.constant([4, 6, 2])
tf.divide(x,y)
<tf.Tensor: shape=(3,), dtype=float64,
numpy=array([4. , 2. , 5.5])>"
"tf.dtypes.as_dtype(
    type_value
)
","[['Converts the given ', 'type_value', ' to a ', 'DType', '.']]",[]
"tf.cast(
    x, dtype, name=None
)
",[],"x = tf.constant([1.8, 2.2], dtype=tf.float32)
tf.cast(x, tf.int32)
<tf.Tensor: shape=(2,), dtype=int32, numpy=array([1, 2], dtype=int32)>"
"tf.dtypes.complex(
    real, imag, name=None
)
","[[None, '\n']]","real = tf.constant([2.25, 3.25])
imag = tf.constant([4.75, 5.75])
tf.complex(real, imag)  # [[2.25 + 4.75j], [3.25 + 5.75j]]
"
"tf.dtypes.saturate_cast(
    value, dtype, name=None
)
","[['Performs a safe saturating cast of ', 'value', ' to ', 'dtype', '.']]",[]
"tf.dynamic_partition(
    data, partitions, num_partitions, name=None
)
","[['Partitions ', 'data', ' into ', 'num_partitions', ' tensors using indices from ', 'partitions', '.']]","    outputs[i].shape = [sum(partitions == i)] + data.shape[partitions.ndim:]

    outputs[i] = pack([data[js, ...] for js if partitions[js] == i])
"
"tf.dynamic_stitch(
    indices, data, name=None
)
","[['Interleave the values from the ', 'data', ' tensors into a single tensor.']]","    merged[indices[m][i, ..., j], ...] = data[m][i, ..., j, ...]
"
"tf.edit_distance(
    hypothesis, truth, normalize=True, name='edit_distance'
)
",[],"hypothesis = tf.SparseTensor(
  [[0, 0, 0],
   [1, 0, 0]],
  [""a"", ""b""],
  (2, 1, 1))
truth = tf.SparseTensor(
  [[0, 1, 0],
   [1, 0, 0],
   [1, 0, 1],
   [1, 1, 0]],
   [""a"", ""b"", ""c"", ""a""],
   (2, 2, 2))
tf.edit_distance(hypothesis, truth, normalize=True)
<tf.Tensor: shape=(2, 2), dtype=float32, numpy=
array([[inf, 1. ],
       [0.5, 1. ]], dtype=float32)>"
"tf.linalg.eig(
    tensor, name=None
)
",[],[]
"tf.linalg.eigvals(
    tensor, name=None
)
",[],[]
"tf.einsum(
    equation, *inputs, **kwargs
)
","[[None, '\n']]","C[i,k] = sum_j A[i,j] * B[j,k]
"
"tf.ensure_shape(
    x, shape, name=None
)
",[],"x = tf.constant([[1, 2, 3],
                 [4, 5, 6]])
x = tf.ensure_shape(x, [2, 3])"
"tf.math.equal(
    x, y, name=None
)
",[],"x = tf.constant([2, 4])
y = tf.constant(2)
tf.math.equal(x, y)
<tf.Tensor: shape=(2,), dtype=bool, numpy=array([ True,  False])>"
"tf.math.exp(
    x, name=None
)
","[[None, '\n']]","x = tf.constant(2.0)
tf.math.exp(x)
<tf.Tensor: shape=(), dtype=float32, numpy=7.389056>"
"tf.expand_dims(
    input, axis, name=None
)
","[['Returns a tensor with a length 1 axis inserted at index ', 'axis', '.']]","image = tf.zeros([10,10,3])"
"tf.experimental.BatchableExtensionType(
    *args, **kwargs
)
","[['Inherits From: ', 'ExtensionType']]","class Vehicle(tf.experimental.BatchableExtensionType):
  top_speed: tf.Tensor
  mpg: tf.Tensor
batch = Vehicle([120, 150, 80], [30, 40, 12])
tf.map_fn(lambda vehicle: vehicle.top_speed * vehicle.mpg, batch,
          fn_output_signature=tf.int32).numpy()
array([3600, 6000,  960], dtype=int32)"
"tf.experimental.DynamicRaggedShape(
    row_partitions: Sequence[tf.experimental.RowPartition],
    inner_shape: tf.types.experimental.TensorLike,
    dtype: Optional[tf.dtypes.DType] = None,
    validate: bool = False,
    static_inner_shape: ... = None
)
","[['Inherits From: ', 'BatchableExtensionType', ', ', 'ExtensionType']]","@classmethod
from_lengths(
    lengths: Sequence[Union[Sequence[int], int]],
    num_row_partitions=None,
    dtype="
"tf.experimental.DynamicRaggedShape.Spec(
    row_partitions: Tuple[RowPartitionSpec, ...],
    static_inner_shape: tf.TensorShape,
    dtype: tf.dtypes.DType
)
","[['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","experimental_as_proto() -> struct_pb2.TypeSpecProto
"
"tf.experimental.ExtensionType(
    *args, **kwargs
)
","[['Base class for TensorFlow ', 'ExtensionType', ' classes.']]","class MaskedTensor(ExtensionType):
  values: tf.Tensor
  mask: tf.Tensor"
"tf.experimental.RowPartition(
    row_splits,
    row_lengths=None,
    value_rowids=None,
    nrows=None,
    uniform_row_length=None,
    nvals=None,
    internal=False
)
",[],"p1 = RowPartition.from_row_lengths([4, 0, 3, 1, 0])
p2 = RowPartition.from_row_splits([0, 4, 4, 7, 8, 8])
p3 = RowPartition.from_row_starts([0, 4, 4, 7, 8], nvals=8)
p4 = RowPartition.from_row_limits([4, 4, 7, 8, 8])
p5 = RowPartition.from_value_rowids([0, 0, 0, 0, 2, 2, 2, 3], nrows=5)"
"tf.experimental.StructuredTensor(
    fields: Mapping[str, _FieldValue],
    ragged_shape: tf.experimental.DynamicRaggedShape
)
","[['Inherits From: ', 'BatchableExtensionType', ', ', 'ExtensionType']]","# A scalar StructuredTensor describing a single person.
s1 = tf.experimental.StructuredTensor.from_pyval(
    {""age"": 82, ""nicknames"": [""Bob"", ""Bobby""]})
s1.shape
TensorShape([])
s1[""age""]
<tf.Tensor: shape=(), dtype=int32, numpy=82>"
"tf.experimental.StructuredTensor.Spec(
    _fields, _ragged_shape
)
","[['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","experimental_as_proto() -> struct_pb2.TypeSpecProto
"
"tf.experimental.dispatch_for_api(
    api, *signatures
)
",[],"class MaskedTensor(tf.experimental.ExtensionType):
  values: tf.Tensor
  mask: tf.Tensor"
"tf.experimental.dispatch_for_binary_elementwise_apis(
    x_type, y_type
)
",[],"class MaskedTensor(tf.experimental.ExtensionType):
  values: tf.Tensor
  mask: tf.Tensor
@dispatch_for_binary_elementwise_apis(MaskedTensor, MaskedTensor)
def binary_elementwise_api_handler(api_func, x, y):
  return MaskedTensor(api_func(x.values, y.values), x.mask & y.mask)
a = MaskedTensor([1, 2, 3, 4, 5], [True, True, True, True, False])
b = MaskedTensor([2, 4, 6, 8, 0], [True, True, True, False, True])
c = tf.add(a, b)
print(f""values={c.values.numpy()}, mask={c.mask.numpy()}"")
values=[ 3 6 9 12 5], mask=[ True True True False False]"
"tf.experimental.dispatch_for_binary_elementwise_assert_apis(
    x_type, y_type
)
",[],"class MaskedTensor(tf.experimental.ExtensionType):
  values: tf.Tensor
  mask: tf.Tensor
@dispatch_for_binary_elementwise_assert_apis(MaskedTensor, MaskedTensor)
def binary_elementwise_assert_api_handler(assert_func, x, y):
  merged_mask = tf.logical_and(x.mask, y.mask)
  selected_x_values = tf.boolean_mask(x.values, merged_mask)
  selected_y_values = tf.boolean_mask(y.values, merged_mask)
  assert_func(selected_x_values, selected_y_values)
a = MaskedTensor([1, 1, 0, 1, 1], [False, False, True, True, True])
b = MaskedTensor([2, 2, 0, 2, 2], [True, True, True, False, False])
tf.debugging.assert_equal(a, b) # assert passed; no exception was thrown"
