API,Description,Example,,
"
mxnet.ndarray.contrib.DeformablePSROIPooling(data=None, rois=None, trans=None, spatial_scale=_Null, output_dim=_Null, group_size=_Null, pooled_size=_Null, part_size=_Null, sample_per_part=_Null, trans_std=_Null, no_trans=_Null, out=None, name=None, **kwargs)Â¶","['Performs deformable position-sensitive region-of-interest pooling on inputs.\nThe DeformablePSROIPooling operation is described in ', 'https://arxiv.org/abs/1703.06211', ' .batch_size will change to the number of region bounding boxes after DeformablePSROIPooling', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.ModulatedDeformableConvolution(data=None, offset=None, mask=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, num_deformable_group=_Null, workspace=_Null, no_bias=_Null, im2col_step=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['Compute 2-D modulated deformable convolution on 4-D input.', '\n', 'The modulated deformable convolution operation is described in ', 'https://arxiv.org/abs/1811.11168', '\n', 'For 2-D modulated deformable convolution, the shapes are', '\n', '\n', 'data', '\n', 'offset', '\n', 'mask', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'Define:', '\n', None, '\n', '\n', 'then we have:', '\n', None, '\n', '\n', 'If ', 'no_bias', ' is set to be true, then the ', 'bias', ' term is ignored.', '\n', 'The default data ', 'layout', ' is ', 'NCHW', ', namely ', '(batch_size, channle, height,\nwidth)', '.', '\n', 'If ', 'num_group', ' is larger than 1, denoted by ', 'g', ', then split the input ', 'data', '\nevenly into ', 'g', ' parts along the channel axis, and also evenly split ', 'weight', '\nalong the first dimension. Next compute the convolution on the ', 'i', '-th part of\nthe data with the ', 'i', '-th weight part. The output is obtained by concating all\nthe ', 'g', ' results.', '\n', 'If ', 'num_deformable_group', ' is larger than 1, denoted by ', 'dg', ', then split the\ninput ', 'offset', ' evenly into ', 'dg', ' parts along the channel axis, and also evenly\nsplit ', 'out', ' evenly into ', 'dg', ' parts along the channel axis. Next compute the\ndeformable convolution, apply the ', 'i', '-th part of the offset part on the ', 'i', '-th\nout.', '\n', 'Both ', 'weight', ' and ', 'bias', ' are learnable parameters.', '\n', 'Defined in src/operator/contrib/modulated_deformable_convolution.cc:L83', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.MultiBoxDetection(cls_prob=None, loc_pred=None, anchor=None, clip=_Null, threshold=_Null, background_id=_Null, nms_threshold=_Null, force_suppress=_Null, variances=_Null, nms_topk=_Null, out=None, name=None, **kwargs)Â¶","['Convert multibox detection predictions.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.MultiBoxPrior(data=None, sizes=_Null, ratios=_Null, clip=_Null, steps=_Null, offsets=_Null, out=None, name=None, **kwargs)Â¶","['Generate prior(anchor) boxes from data, sizes and ratios.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.MultiBoxTarget(anchor=None, label=None, cls_pred=None, overlap_threshold=_Null, ignore_label=_Null, negative_mining_ratio=_Null, negative_mining_thresh=_Null, minimum_negative_samples=_Null, variances=_Null, out=None, name=None, **kwargs)Â¶","['Compute Multibox training targets', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.MultiProposal(cls_prob=None, bbox_pred=None, im_info=None, rpn_pre_nms_top_n=_Null, rpn_post_nms_top_n=_Null, threshold=_Null, rpn_min_size=_Null, scales=_Null, ratios=_Null, feature_stride=_Null, output_score=_Null, iou_loss=_Null, out=None, name=None, **kwargs)Â¶","['Generate region proposals via RPN', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.PSROIPooling(data=None, rois=None, spatial_scale=_Null, output_dim=_Null, pooled_size=_Null, group_size=_Null, out=None, name=None, **kwargs)Â¶","['Performs region-of-interest pooling on inputs. Resize bounding box coordinates by spatial_scale and crop input feature maps accordingly. The cropped feature maps are pooled by max pooling to a fixed size output indicated by pooled_size. batch_size will change to the number of region bounding boxes after PSROIPooling', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.Proposal(cls_prob=None, bbox_pred=None, im_info=None, rpn_pre_nms_top_n=_Null, rpn_post_nms_top_n=_Null, threshold=_Null, rpn_min_size=_Null, scales=_Null, ratios=_Null, feature_stride=_Null, output_score=_Null, iou_loss=_Null, out=None, name=None, **kwargs)Â¶","['Generate region proposals via RPN', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.ROIAlign(data=None, rois=None, pooled_size=_Null, spatial_scale=_Null, sample_ratio=_Null, position_sensitive=_Null, aligned=_Null, out=None, name=None, **kwargs)Â¶","['This operator takes a 4D feature map as an input array and region proposals as ', 'rois', ',\nthen align the feature map over sub-regions of input and produces a fixed-sized output array.\nThis operator is typically used in Faster R-CNN & Mask R-CNN networks. If roi batchid is less\nthan 0, it will be ignored, and the corresponding output will be set to 0.', '\n', 'Different from ROI pooling, ROI Align removes the harsh quantization, properly aligning\nthe extracted features with the input. RoIAlign computes the value of each sampling point\nby bilinear interpolation from the nearby grid points on the feature map. No quantization is\nperformed on any coordinates involved in the RoI, its bins, or the sampling points.\nBilinear interpolation is used to compute the exact values of the\ninput features at four regularly sampled locations in each RoI bin.\nThen the feature map can be aggregated by avgpooling.', '\n', 'References', '\n', 'He, Kaiming, et al. â\x80\x9cMask R-CNN.â\x80\x9d ICCV, 2017', '\n', 'Defined in src/operator/contrib/roi_align.cc:L558', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.RROIAlign(data=None, rois=None, pooled_size=_Null, spatial_scale=_Null, sampling_ratio=_Null, out=None, name=None, **kwargs)Â¶","['Performs Rotated ROI Align on the input array.', '\n', 'This operator takes a 4D feature map as an input array and region proposals as ', 'rois', ',\nthen align the feature map over sub-regions of input and produces a fixed-sized output array.', '\n', 'Different from ROI Align, RROI Align uses rotated rois, which is suitable for text detection.\nRRoIAlign computes the value of each sampling point by bilinear interpolation from the nearby\ngrid points on the rotated feature map. No quantization is performed on any coordinates\ninvolved in the RoI, its bins, or the sampling points. Bilinear interpolation is used to\ncompute the exact values of the input features at four regularly sampled locations in\neach RoI bin. Then the feature map can be aggregated by avgpooling.', '\n', 'References', '\n', 'Ma, Jianqi, et al. â\x80\x9cArbitrary-Oriented Scene Text Detection via Rotation Proposals.â\x80\x9d\nIEEE Transactions on Multimedia, 2018.', '\n', 'Defined in src/operator/contrib/rroi_align.cc:L273', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.SparseEmbedding(data=None, weight=None, input_dim=_Null, output_dim=_Null, dtype=_Null, sparse_grad=_Null, out=None, name=None, **kwargs)Â¶","['Maps integer indices to vector representations (embeddings).', '\n', 'note:: ', 'contrib.SparseEmbedding', ' is deprecated, use ', 'Embedding', ' instead.', '\n', 'This operator maps words to real-valued vectors in a high-dimensional space,\ncalled word embeddings. These embeddings can capture semantic and syntactic properties of the words.\nFor example, it has been noted that in the learned embedding spaces, similar words tend\nto be close to each other and dissimilar words far apart.', '\n', 'For an input array of shape (d1, â\x80¦, dK),\nthe shape of an output array is (d1, â\x80¦, dK, output_dim).\nAll the input values should be integers in the range [0, input_dim).', '\n', 'If the input_dim is ip0 and output_dim is op0, then shape of the embedding weight matrix must be\n(ip0, op0).', '\n', 'The storage type of the gradient will be ', 'row_sparse', '.', '\n', '\n', 'Note', '\n', 'SparseEmbedding', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/indexing_op.cc:L674', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.SyncBatchNorm(data=None, gamma=None, beta=None, moving_mean=None, moving_var=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, ndev=_Null, key=_Null, out=None, name=None, **kwargs)Â¶","['Batch normalization.', '\n', 'Normalizes a data batch by mean and variance, and applies a scale ', 'gamma', ' as\nwell as offset ', 'beta', '.\nStandard BN ', '1', ' implementation only normalize the data within each device.\nSyncBN normalizes the input within the whole mini-batch.\nWe follow the sync-onece implmentation described in the paper ', '2', '.', '\n', 'Assume the input has more than one dimension and we normalize along axis 1.\nWe first compute the mean and variance along this axis:', '\n', '\n\\[\\begin{split}data\\_mean[i] = mean(data[:,i,:,...]) \\\\\ndata\\_var[i] = var(data[:,i,:,...])\\end{split}\\]', '\n', 'Then compute the normalized output, which has the same shape as input, as following:', '\n', '\n\\[out[:,i,:,...] = \\frac{data[:,i,:,...] - data\\_mean[i]}{\\sqrt{data\\_var[i]+\\epsilon}} * gamma[i] + beta[i]\\]', '\n', 'Both ', 'mean', ' and ', 'var', ' returns a scalar by treating the input as a vector.', '\n', 'Assume the input has size ', 'k', ' on axis 1, then both ', 'gamma', ' and ', 'beta', '\nhave shape ', '(k,)', '. If ', 'output_mean_var', ' is set to be true, then outputs both ', 'data_mean', ' and\n', 'data_var', ' as well, which are needed for the backward pass.', '\n', 'Besides the inputs and the outputs, this operator accepts two auxiliary\nstates, ', 'moving_mean', ' and ', 'moving_var', ', which are ', 'k', '-length\nvectors. They are global statistics for the whole dataset, which are updated\nby:', '\n', None, '\n', '\n', 'If ', 'use_global_stats', ' is set to be true, then ', 'moving_mean', ' and\n', 'moving_var', ' are used instead of ', 'data_mean', ' and ', 'data_var', ' to compute\nthe output. It is often used during inference.', '\n', 'Both ', 'gamma', ' and ', 'beta', ' are learnable parameters. But if ', 'fix_gamma', ' is true,\nthen set ', 'gamma', ' to 1 and its gradient to 0.', '\n', '\n', 'Reference:', '\n', '\n', '\n', 'Defined in src/operator/contrib/sync_batch_norm.cc:L96', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.allclose(a=None, b=None, rtol=_Null, atol=_Null, equal_nan=_Null, out=None, name=None, **kwargs)Â¶","['This operators implements the numpy.allclose(a, b, rtol=1e-05, atol=1e-08, equal_nan=False)', '\n', '\n\\[f(x) = |aâ\x88\x92b|â\x89¤atol+rtol|b|\\]', '\n', 'where\n', '\\(a, b\\)', ' are the input tensors of equal types an shapes\n', '\\(atol, rtol\\)', ' the values of absolute and relative tolerance (by default, rtol=1e-05, atol=1e-08)', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/allclose_op.cc:L55', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.arange_like(data=None, start=_Null, step=_Null, repeat=_Null, ctx=_Null, axis=_Null, out=None, name=None, **kwargs)Â¶","['Return an array with evenly spaced values. If axis is not given, the output will\nhave the same shape as the input array. Otherwise, the output will be a 1-D array with size of\nthe specified axis in input shape.', '\n', 'Examples:', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.backward_gradientmultiplier(data=None, scalar=_Null, is_int=_Null, out=None, name=None, **kwargs)Â¶","['\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.backward_hawkesll(out=None, name=None, **kwargs)Â¶","['\n', 'Parameters', '\n', 'out', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.backward_index_copy(out=None, name=None, **kwargs)Â¶","['\n', 'Parameters', '\n', 'out', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.backward_quadratic(out=None, name=None, **kwargs)Â¶","['\n', 'Parameters', '\n', 'out', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.bipartite_matching(data=None, is_ascend=_Null, threshold=_Null, topk=_Null, out=None, name=None, **kwargs)Â¶","['\n', 'Compute bipartite matching.', 'The matching is performed on score matrix with shape [B, N, M]\n- B: batch_size\n- N: number of rows to match\n- M: number of columns as reference to be matched against.', '\n', '\n', 'Defined in src/operator/contrib/bounding_box.cc:L182', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.boolean_mask(data=None, index=None, axis=_Null, out=None, name=None, **kwargs)Â¶","['Given an n-d NDArray data, and a 1-d NDArray index,\nthe operator produces an un-predeterminable shaped n-d NDArray out,\nwhich stands for the rows in x where the corresonding element in index is non-zero.', '\n', None, '\n', '\n', '[[4. 5. 6.]]\n<NDArray 1x3 @cpu(0)>', '\n', 'Defined in src/operator/contrib/boolean_mask.cc:L195', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.box_decode(data=None, anchors=None, std0=_Null, std1=_Null, std2=_Null, std3=_Null, clip=_Null, format=_Null, out=None, name=None, **kwargs)Â¶","['\n', 'Decode bounding boxes training target with normalized center offsets.', 'Input bounding boxes are using corner type: ', '\n', '\n', 'Defined in src/operator/contrib/bounding_box.cc:L233', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.box_encode(samples=None, matches=None, anchors=None, refs=None, means=None, stds=None, out=None, name=None, **kwargs)Â¶","['\n', 'Encode bounding boxes training target with normalized center offsets.', 'Input bounding boxes are using corner type: ', '\n', '\n', 'Defined in src/operator/contrib/bounding_box.cc:L210', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.box_iou(lhs=None, rhs=None, format=_Null, out=None, name=None, **kwargs)Â¶","['\n', 'Bounding box overlap of two arrays.', 'The overlap is defined as Intersection-over-Union, aka, IOU.\n- lhs: (a_1, a_2, â\x80¦, a_n, 4) array\n- rhs: (b_1, b_2, â\x80¦, b_n, 4) array\n- output: (a_1, a_2, â\x80¦, a_n, b_1, b_2, â\x80¦, b_n) array', '\n', '\n', 'Defined in src/operator/contrib/bounding_box.cc:L136', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.box_nms(data=None, overlap_thresh=_Null, valid_thresh=_Null, topk=_Null, coord_start=_Null, score_index=_Null, id_index=_Null, background_id=_Null, force_suppress=_Null, in_format=_Null, out_format=_Null, out=None, name=None, **kwargs)Â¶","['Apply non-maximum suppression to input.', '\n', 'The output will be sorted in descending order according to ', 'score', '. Boxes with\noverlaps larger than ', 'overlap_thresh', ', smaller scores and background boxes\nwill be removed and filled with -1, the corresponding position will be recorded\nfor backward propogation.', '\n', 'During back-propagation, the gradient will be copied to the original\nposition according to the input index. For positions that have been suppressed,\nthe in_grad will be assigned 0.\nIn summary, gradients are sticked to its boxes, will either be moved or discarded\naccording to its original index in input.', '\n', 'Input requirements:', '\n', None, '\n', '\n', 'By default, a box is [id, score, xmin, ymin, xmax, ymax, â\x80¦],\nadditional elements are allowed.', '\n', '\n', 'id_index', '\n', 'background_id', '\n', 'coord_start', '\n', 'score_index', '\n', 'in_format', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/bounding_box.cc:L94', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.box_non_maximum_suppression(data=None, overlap_thresh=_Null, valid_thresh=_Null, topk=_Null, coord_start=_Null, score_index=_Null, id_index=_Null, background_id=_Null, force_suppress=_Null, in_format=_Null, out_format=_Null, out=None, name=None, **kwargs)Â¶","['Apply non-maximum suppression to input.', '\n', 'The output will be sorted in descending order according to ', 'score', '. Boxes with\noverlaps larger than ', 'overlap_thresh', ', smaller scores and background boxes\nwill be removed and filled with -1, the corresponding position will be recorded\nfor backward propogation.', '\n', 'During back-propagation, the gradient will be copied to the original\nposition according to the input index. For positions that have been suppressed,\nthe in_grad will be assigned 0.\nIn summary, gradients are sticked to its boxes, will either be moved or discarded\naccording to its original index in input.', '\n', 'Input requirements:', '\n', None, '\n', '\n', 'By default, a box is [id, score, xmin, ymin, xmax, ymax, â\x80¦],\nadditional elements are allowed.', '\n', '\n', 'id_index', '\n', 'background_id', '\n', 'coord_start', '\n', 'score_index', '\n', 'in_format', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/bounding_box.cc:L94', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.calibrate_entropy(hist=None, hist_edges=None, num_quantized_bins=_Null, out=None, name=None, **kwargs)Â¶","['Provide calibrated min/max for input histogram.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propagation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/calibrate.cc:L196', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.count_sketch(data=None, h=None, s=None, out_dim=_Null, processing_batch_size=_Null, out=None, name=None, **kwargs)Â¶","['Apply CountSketch to input: map a d-dimension data to k-dimension dataâ\x80\x9d', '\n', '\n', 'Note', '\n', 'count_sketch', '\n', '\n', 'Assume input data has shape (N, d), sign hash table s has shape (N, d),\nindex hash table h has shape (N, d) and mapping dimension out_dim = k,\neach element in s is either +1 or -1, each element in h is random integer from 0 to k-1.\nThen the operator computs:', '\n', '\n\\[out[h[i]] += data[i] * s[i]\\]', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/count_sketch.cc:L66', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.ctc_loss(data=None, label=None, data_lengths=None, label_lengths=None, use_data_lengths=_Null, use_label_lengths=_Null, blank_label=_Null, out=None, name=None, **kwargs)Â¶","['Connectionist Temporal Classification Loss.', '\n', '\n', 'Note', '\n', 'The existing alias ', '\n', '\n', 'The shapes of the inputs and outputs:', '\n', '\n', 'data', '\n', 'label', '\n', 'out', '\n', '\n', 'The ', 'data', ' tensor consists of sequences of activation vectors (without applying softmax),\nwith i-th channel in the last dimension corresponding to i-th label\nfor i between 0 and alphabet_size-1 (i.e always 0-indexed).\nAlphabet size should include one additional value reserved for blank label.\nWhen ', 'blank_label', ' is ', '""first""', ', the ', '0', '-th channel is be reserved for\nactivation of blank label, or otherwise if it is â\x80\x9clastâ\x80\x9d, ', '(alphabet_size-1)', '-th channel should be\nreserved for blank label.', '\n', 'label', ' is an index matrix of integers. When ', 'blank_label', ' is ', '""first""', ',\nthe value 0 is then reserved for blank label, and should not be passed in this matrix. Otherwise,\nwhen ', 'blank_label', ' is ', '""last""', ', the value ', '(alphabet_size-1)', ' is reserved for blank label.', '\n', 'If a sequence of labels is shorter than ', 'label_sequence_length', ', use the special\npadding value at the end of the sequence to conform it to the correct\nlength. The padding value is ', '0', ' when ', 'blank_label', ' is ', '""first""', ', and ', '-1', ' otherwise.', '\n', 'For example, suppose the vocabulary is ', '[a, b, c]', ', and in one batch we have three sequences\nâ\x80\x98baâ\x80\x99, â\x80\x98cbbâ\x80\x99, and â\x80\x98abacâ\x80\x99. When ', 'blank_label', ' is ', '""first""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 1, â\x80\x98bâ\x80\x99: 2, â\x80\x98câ\x80\x99: 3}', ', and we reserve the 0-th channel for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'When ', 'blank_label', ' is ', '""last""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 0, â\x80\x98bâ\x80\x99: 1, â\x80\x98câ\x80\x99: 2}', ', and we reserve the channel index 3 for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'out', ' is a list of CTC loss values, one per example in the batch.', '\n', 'See ', 'Connectionist Temporal Classification: Labelling Unsegmented\nSequence Data with Recurrent Neural Networks', ', A. Graves ', 'et al', '. for more\ninformation on the definition and the algorithm.', '\n', 'Defined in src/operator/nn/ctc_loss.cc:L100', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.dequantize(data=None, min_range=None, max_range=None, out_type=_Null, out=None, name=None, **kwargs)Â¶","['Dequantize the input tensor into a float tensor.\nmin_range and max_range are scalar floats that specify the range for\nthe output data.', '\n', 'When input data type is ', 'uint8', ', the output is calculated using the following equation:', '\n', 'out[i] = in[i] * (max_range - min_range) / 255.0', ',', '\n', 'When input data type is ', 'int8', ', the output is calculate using the following equation\nby keep zero centered for the quantized value:', '\n', 'out[i] = in[i] * MaxAbs(min_range, max_range) / 127.0', ',', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/dequantize.cc:L80', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.dgl_adjacency(data=None, out=None, name=None, **kwargs)Â¶","['This operator converts a CSR matrix whose values are edge Ids\nto an adjacency matrix whose values are ones. The output CSR matrix always has\nthe data value of float32.', '\n', 'Example', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/dgl_graph.cc:L1424', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.dgl_csr_neighbor_non_uniform_sample(*seed_arrays, **kwargs)Â¶","['This operator samples sub-graph from a csr graph via an\nnon-uniform probability. The operator is designed for DGL.', '\n', 'The operator outputs four sets of NDArrays to represent the sampled results\n(the number of NDArrays in each set is the same as the number of seed NDArrays minus two (csr matrix and probability)):\n1) a set of 1D NDArrays containing the sampled vertices, 2) a set of CSRNDArrays representing\nthe sampled edges, 3) a set of 1D NDArrays with the probability that vertices are sampled,\n4) a set of 1D NDArrays indicating the layer where a vertex is sampled.\nThe first set of 1D NDArrays have a length of max_num_vertices+1. The last element in an NDArray\nindicate the acutal number of vertices in a subgraph. The third and fourth set of NDArrays have a length\nof max_num_vertices, and the valid number of vertices is the same as the ones in the first set.', '\n', 'Example', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/dgl_graph.cc:L911', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.dgl_csr_neighbor_uniform_sample(*seed_arrays, **kwargs)Â¶","['This operator samples sub-graphs from a csr graph via an\nuniform probability. The operator is designed for DGL.', '\n', 'The operator outputs three sets of NDArrays to represent the sampled results\n(the number of NDArrays in each set is the same as the number of seed NDArrays minus two (csr matrix and probability)):\n1) a set of 1D NDArrays containing the sampled vertices, 2) a set of CSRNDArrays representing\nthe sampled edges, 3) a set of 1D NDArrays indicating the layer where a vertex is sampled.\nThe first set of 1D NDArrays have a length of max_num_vertices+1. The last element in an NDArray\nindicate the acutal number of vertices in a subgraph. The third set of NDArrays have a length\nof max_num_vertices, and the valid number of vertices is the same as the ones in the first set.', '\n', 'Example', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/dgl_graph.cc:L801', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.dgl_graph_compact(*graph_data, **kwargs)Â¶","['This operator compacts a CSR matrix generated by\ndgl_csr_neighbor_uniform_sample and dgl_csr_neighbor_non_uniform_sample.\nThe CSR matrices generated by these two operators may have many empty\nrows at the end and many empty columns. This operator removes these\nempty rows and empty columns.', '\n', 'Example', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/dgl_graph.cc:L1613', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.dgl_subgraph(*data, **kwargs)Â¶","['This operator constructs an induced subgraph for\na given set of vertices from a graph. The operator accepts multiple\nsets of vertices as input. For each set of vertices, it returns a pair\nof CSR matrices if return_mapping is True: the first matrix contains edges\nwith new edge Ids, the second matrix contains edges with the original\nedge Ids.', '\n', 'Example', '\n', None, '\n', '\n', 'Defined in src/operator/contrib/dgl_graph.cc:L1171', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.div_sqrt_dim(data=None, out=None, name=None, **kwargs)Â¶","['Rescale the input by the square root of the channel dimension.', '\n', '\n', 'out = data / sqrt(data.shape[-1])', '\n', 'Defined in src/operator/contrib/transformer.cc:L832', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.contrib.edge_id(data=None, u=None, v=None, out=None, name=None, **kwargs)Â¶","['This operator implements the edge_id function for a graph\nstored in a CSR matrix (the value of the CSR stores the edge Id of the graph).\noutput[i] = input[u[i], v[i]] if there is an edge between u[i] and v[i]],\notherwise output[i] will be -1. Both u and v should be 1D vectors.', '\n', 'Example', '\n', None, '\n', '\n', '\n', 'The storage type of ', '\n', '\n', '\n', 'Defined in src/operator/contrib/dgl_graph.cc:L1352', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
