"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
mxnet.ndarray.SequenceReverse(data=None, sequence_length=None, use_sequence_length=_Null, axis=_Null, out=None, name=None, **kwargs)Â¶","['Reverses the elements of each sequence.', '\n', 'This function takes an n-dimensional input array of the form [max_sequence_length, batch_size, other_feature_dims]\nand returns an array of the same shape.', '\n', 'Parameter ', 'sequence_length', ' is used to handle variable-length sequences.\n', 'sequence_length', ' should be an input array of positive ints of dimension [batch_size].\nTo use this parameter, set ', 'use_sequence_length', ' to ', 'True', ',\notherwise each example in the batch is assumed to have the max sequence length.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/sequence_reverse.cc:L121', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.SliceChannel(data=None, num_outputs=_Null, axis=_Null, squeeze_axis=_Null, out=None, name=None, **kwargs)Â¶","['Splits an array along a particular axis into multiple sub-arrays.', '\n', '\n', 'Note', '\n', 'SliceChannel', '\n', '\n', 'Note', ' that ', 'num_outputs', ' should evenly divide the length of the axis\nalong which to split the array.', '\n', 'Example:', '\n', None, '\n', '\n', 'squeeze_axis=1', ' removes the axis with length 1 from the shapes of the output arrays.\n', 'Note', ' that setting ', 'squeeze_axis', ' to ', '1', ' removes axis with length 1 only\nalong the ', 'axis', ' which it is split.\nAlso ', 'squeeze_axis', ' can be set to true only if ', 'input.shape[axis]', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/slice_channel.cc:L106', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.Softmax(data=None, label=None, grad_scale=_Null, ignore_label=_Null, multi_output=_Null, use_ignore=_Null, preserve_shape=_Null, normalization=_Null, out_grad=_Null, smooth_alpha=_Null, out=None, name=None, **kwargs)Â¶","['Computes the gradient of cross entropy loss with respect to softmax output.', '\n', '\n', 'This operator computes the gradient in two steps.\nThe cross entropy loss does not actually need to be computed.', '\n', 'The softmax function, cross entropy loss and gradient is given by:', '\n', 'During forward propagation, the softmax function is computed for each instance in the input array.', '\n', 'During backward propagation, the gradient of cross-entropy loss w.r.t softmax output array is computed.\nThe provided label can be a one-hot label array or a probability label array.', '\n', '\n', 'Defined in src/operator/softmax_output.cc:L242', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.SoftmaxActivation(data=None, mode=_Null, out=None, name=None, **kwargs)Â¶","['Applies softmax activation to input. This is intended for internal layers.', '\n', '\n', 'Note', '\n', 'This operator has been deprecated, please use ', '\n', '\n', 'If ', 'mode', ' = ', 'instance', ', this operator will compute a softmax for each instance in the batch.\nThis is the default mode.', '\n', 'If ', 'mode', ' = ', 'channel', ', this operator will compute a k-class softmax at each position\nof each instance, where ', 'k', ' = ', 'num_channel', '. This mode can only be used when the input array\nhas at least 3 dimensions.\nThis can be used for ', 'fully convolutional network', ', ', 'image segmentation', ', etc.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/softmax_activation.cc:L58', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.SoftmaxOutput(data=None, label=None, grad_scale=_Null, ignore_label=_Null, multi_output=_Null, use_ignore=_Null, preserve_shape=_Null, normalization=_Null, out_grad=_Null, smooth_alpha=_Null, out=None, name=None, **kwargs)Â¶","['Computes the gradient of cross entropy loss with respect to softmax output.', '\n', '\n', 'This operator computes the gradient in two steps.\nThe cross entropy loss does not actually need to be computed.', '\n', 'The softmax function, cross entropy loss and gradient is given by:', '\n', 'During forward propagation, the softmax function is computed for each instance in the input array.', '\n', 'During backward propagation, the gradient of cross-entropy loss w.r.t softmax output array is computed.\nThe provided label can be a one-hot label array or a probability label array.', '\n', '\n', 'Defined in src/operator/softmax_output.cc:L242', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.SpatialTransformer(data=None, loc=None, target_shape=_Null, transform_type=_Null, sampler_type=_Null, cudnn_off=_Null, out=None, name=None, **kwargs)Â¶","['Applies a spatial transformer to input feature map.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.SwapAxis(data=None, dim1=_Null, dim2=_Null, out=None, name=None, **kwargs)Â¶","['Interchanges two axes of an array.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/swapaxis.cc:L69', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.UpSampling(*data, **kwargs)Â¶","['Upsamples the given input data.', '\n', 'Two algorithms (', 'sample_type', ') are available for upsampling:', '\n', '\n', 'Nearest Neighbor', '\n', 'Bilinear', '\n', '\n', 'Nearest Neighbor Upsampling', '\n', 'Input data is expected to be NCHW.', '\n', 'Example:', '\n', None, '\n', '\n', 'Bilinear Upsampling', '\n', 'Uses ', 'deconvolution', ' algorithm under the hood. You need provide both input data and the kernel.', '\n', 'Input data is expected to be NCHW.', '\n', 'num_filter', ' is expected to be same as the number of channels.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/upsampling.cc:L172', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.abs(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise absolute value of the input.', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'abs', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L720', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.adam_update(weight=None, grad=None, mean=None, var=None, lr=_Null, beta1=_Null, beta2=_Null, epsilon=_Null, wd=_Null, rescale_grad=_Null, clip_gradient=_Null, lazy_update=_Null, out=None, name=None, **kwargs)Â¶","['Update function for Adam optimizer. Adam is seen as a generalization\nof AdaGrad.', '\n', 'Adam update consists of the following steps, where g represents gradient and m, v\nare 1st and 2nd order moment estimates (mean and variance).', '\n', '\n\\[\\begin{split}g_t = \\nabla J(W_{t-1})\\\\\nm_t = \\beta_1 m_{t-1} + (1 - \\beta_1) g_t\\\\\nv_t = \\beta_2 v_{t-1} + (1 - \\beta_2) g_t^2\\\\\nW_t = W_{t-1} - \\alpha \\frac{ m_t }{ \\sqrt{ v_t } + \\epsilon }\\end{split}\\]', '\n', 'It updates the weights using:', '\n', None, '\n', '\n', 'However, if gradâ\x80\x99s storage type is ', 'row_sparse', ', ', 'lazy_update', ' is True and the storage\ntype of weight is the same as those of m and v,\nonly the row slices whose indices appear in grad.indices are updated (for w, m and v):', '\n', None, '\n', '\n', 'Defined in src/operator/optimizer_op.cc:L687', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.add_n(*args, **kwargs)Â¶","['Adds all input arguments element-wise.', '\n', '\n\\[add\\_n(a_1, a_2, ..., a_n) = a_1 + a_2 + ... + a_n\\]', '\n', 'add_n', ' is potentially more efficient than calling ', 'add', ' by ', 'n', ' times.', '\n', 'The storage type of ', 'add_n', ' output depends on storage types of inputs', '\n', '\n', 'add_n(row_sparse, row_sparse, ..) = row_sparse', '\n', 'add_n(default, csr, default) = default', '\n', 'add_n(any input combinations longer than 4 (>4) with at least one default type) = default', '\n', 'otherwise, ', '\n', '\n', 'Defined in src/operator/tensor/elemwise_sum.cc:L155', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.all_finite(data=None, init_output=_Null, out=None, name=None, **kwargs)Â¶","['Check if all the float numbers in the array are finite (used for AMP)', '\n', 'Defined in src/operator/contrib/all_finite.cc:L100', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.amp_cast(data=None, dtype=_Null, out=None, name=None, **kwargs)Â¶","['Cast function between low precision float/FP32 used by AMP.', '\n', 'It casts only between low precision float/FP32 and does not do anything for other types.', '\n', 'Defined in src/operator/tensor/amp_cast.cc:L125', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.amp_multicast(*data, **kwargs)Â¶","['Cast function used by AMP, that casts its inputs to the common widest type.', '\n', 'It casts only between low precision float/FP32 and does not do anything for other types.', '\n', 'Defined in src/operator/tensor/amp_cast.cc:L169', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.arccos(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise inverse cosine of the input array.', '\n', 'The input should be in range ', '[-1, 1]', '.\nThe output is in the closed interval ', '\\([0, \\pi]\\)', '\n', '\n\\[arccos([-1, -.707, 0, .707, 1]) = [\\pi, 3\\pi/4, \\pi/2, \\pi/4, 0]\\]', '\n', 'The storage type of ', 'arccos', ' output is always dense', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L233', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.arccosh(data=None, out=None, name=None, **kwargs)Â¶","['Returns the element-wise inverse hyperbolic cosine of the input array, computed element-wise.', '\n', 'The storage type of ', 'arccosh', ' output is always dense', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L535', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.arcsin(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise inverse sine of the input array.', '\n', 'The input should be in the range ', '[-1, 1]', '.\nThe output is in the closed interval of [', '\\(-\\pi/2\\)', ', ', '\\(\\pi/2\\)', '].', '\n', '\n\\[arcsin([-1, -.707, 0, .707, 1]) = [-\\pi/2, -\\pi/4, 0, \\pi/4, \\pi/2]\\]', '\n', 'The storage type of ', 'arcsin', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L187', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.arcsinh(data=None, out=None, name=None, **kwargs)Â¶","['Returns the element-wise inverse hyperbolic sine of the input array, computed element-wise.', '\n', 'The storage type of ', 'arcsinh', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L494', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.arctan(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise inverse tangent of the input array.', '\n', 'The output is in the closed interval ', '\\([-\\pi/2, \\pi/2]\\)', '\n', '\n\\[arctan([-1, 0, 1]) = [-\\pi/4, 0, \\pi/4]\\]', '\n', 'The storage type of ', 'arctan', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L282', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.arctanh(data=None, out=None, name=None, **kwargs)Â¶","['Returns the element-wise inverse hyperbolic tangent of the input array, computed element-wise.', '\n', 'The storage type of ', 'arctanh', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L579', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.argmax(data=None, axis=_Null, keepdims=_Null, out=None, name=None, **kwargs)Â¶","['Returns indices of the maximum values along an axis.', '\n', 'In the case of multiple occurrences of maximum values, the indices corresponding to the first occurrence\nare returned.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_index.cc:L51', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.argmax_channel(data=None, out=None, name=None, **kwargs)Â¶","['Returns argmax indices of each channel from the input array.', '\n', 'The result will be an NDArray of shape (num_channel,).', '\n', 'In case of multiple occurrences of the maximum values, the indices corresponding to the first occurrence\nare returned.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_index.cc:L96', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.argmin(data=None, axis=_Null, keepdims=_Null, out=None, name=None, **kwargs)Â¶","['Returns indices of the minimum values along an axis.', '\n', 'In the case of multiple occurrences of minimum values, the indices corresponding to the first occurrence\nare returned.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_index.cc:L76', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.argsort(data=None, axis=_Null, is_ascend=_Null, dtype=_Null, out=None, name=None, **kwargs)Â¶","['Returns the indices that would sort an input array along the given axis.', '\n', 'This function performs sorting along the given axis and returns an array of indices having same shape\nas an input array that index data in sorted order.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/ordering_op.cc:L184', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.batch_dot(lhs=None, rhs=None, transpose_a=_Null, transpose_b=_Null, forward_stype=_Null, out=None, name=None, **kwargs)Â¶","['Batchwise dot product.', '\n', 'batch_dot', ' is used to compute dot product of ', 'x', ' and ', 'y', ' when ', 'x', ' and\n', 'y', ' are data in batch, namely N-D (N >= 3) arrays in shape of ', '(B0, â\x80¦, B_i, :, :)', '.', '\n', 'For example, given ', 'x', ' with shape ', '(B_0, â\x80¦, B_i, N, M)', ' and ', 'y', ' with shape\n', '(B_0, â\x80¦, B_i, M, K)', ', the result array will have shape ', '(B_0, â\x80¦, B_i, N, K)', ',\nwhich is computed by:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/dot.cc:L127', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.batch_take(a=None, indices=None, out=None, name=None, **kwargs)Â¶","['Takes elements from a data batch.', '\n', '\n', 'Note', '\n', 'batch_take', '\n', '\n', 'Given an input array of shape ', '(d0,', ' and indices of shape ', '(i0,)', ', the result will be\nan output array of shape ', '(i0,)', ' with:', '\n', None, '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/indexing_op.cc:L835', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_add(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise sum of the input arrays with broadcasting.', '\n', 'broadcast_plus', ' is an alias to the function ', 'broadcast_add', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Supported sparse operations:', '\n', '\n', 'broadcast_add(csr, dense(1D)) = dense\nbroadcast_add(dense(1D), csr) = dense', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L57', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_axes(data=None, axis=_Null, size=_Null, out=None, name=None, **kwargs)Â¶","['Broadcasts the input array over particular axes.', '\n', 'Broadcasting is allowed on axes with size 1, such as from ', '(2,1,3,1)', ' to\n', '(2,8,3,9)', '. Elements will be duplicated on the broadcasted axes.', '\n', 'broadcast_axes', ' is an alias to the function ', 'broadcast_axis', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_value.cc:L92', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_axis(data=None, axis=_Null, size=_Null, out=None, name=None, **kwargs)Â¶","['Broadcasts the input array over particular axes.', '\n', 'Broadcasting is allowed on axes with size 1, such as from ', '(2,1,3,1)', ' to\n', '(2,8,3,9)', '. Elements will be duplicated on the broadcasted axes.', '\n', 'broadcast_axes', ' is an alias to the function ', 'broadcast_axis', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_value.cc:L92', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_div(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise division of the input arrays with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Supported sparse operations:', '\n', '\n', 'broadcast_div(csr, dense(1D)) = csr', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L186', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_equal(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'equal to', ' (==) comparison operation with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L45', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_greater(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'greater than', ' (>) comparison operation with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L81', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_greater_equal(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'greater than or equal to', ' (>=) comparison operation with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L99', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_hypot(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the hypotenuse of a right angled triangle, given its â\x80\x9clegsâ\x80\x9d\nwith broadcasting.', '\n', 'It is equivalent to doing ', '\\(sqrt(x_1^2 + x_2^2)\\)', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_extended.cc:L157', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_lesser(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'lesser than', ' (<) comparison operation with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L117', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_lesser_equal(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'lesser than or equal to', ' (<=) comparison operation with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L135', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_like(lhs=None, rhs=None, lhs_axes=_Null, rhs_axes=_Null, out=None, name=None, **kwargs)Â¶","['Broadcasts lhs to have the same shape as rhs.', '\n', 'Broadcasting is a mechanism that allows NDArrays to perform arithmetic operations\nwith arrays of different shapes efficiently without creating multiple copies of arrays.\nAlso see, ', 'Broadcasting', ' for more explanation.', '\n', 'Broadcasting is allowed on axes with size 1, such as from ', '(2,1,3,1)', ' to\n', '(2,8,3,9)', '. Elements will be duplicated on the broadcasted axes.', '\n', 'For example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_op_value.cc:L178', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_logical_and(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'logical and', ' with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L153', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_logical_or(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'logical or', ' with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L171', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_logical_xor(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'logical xor', ' with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L189', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_maximum(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise maximum of the input arrays with broadcasting.', '\n', 'This function compares two input arrays and returns a new array having the element-wise maxima.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_extended.cc:L80', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_minimum(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise minimum of the input arrays with broadcasting.', '\n', 'This function compares two input arrays and returns a new array having the element-wise minima.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_extended.cc:L116', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_minus(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise difference of the input arrays with broadcasting.', '\n', 'broadcast_minus', ' is an alias to the function ', 'broadcast_sub', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Supported sparse operations:', '\n', '\n', 'broadcast_sub/minus(csr, dense(1D)) = dense\nbroadcast_sub/minus(dense(1D), csr) = dense', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L105', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_mod(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise modulo of the input arrays with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L221', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_mul(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise product of the input arrays with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Supported sparse operations:', '\n', '\n', 'broadcast_mul(csr, dense(1D)) = csr', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L145', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_not_equal(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns the result of element-wise ', 'not equal to', ' (!=) comparison operation with broadcasting.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_logic.cc:L63', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.broadcast_plus(lhs=None, rhs=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise sum of the input arrays with broadcasting.', '\n', 'broadcast_plus', ' is an alias to the function ', 'broadcast_add', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Supported sparse operations:', '\n', '\n', 'broadcast_add(csr, dense(1D)) = dense\nbroadcast_add(dense(1D), csr) = dense', '\n', 'Defined in src/operator/tensor/elemwise_binary_broadcast_op_basic.cc:L57', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
