API,Description,Example1,Example2,,
"
 torch. logical_xor ( input ,  other ,  * ,  out )   → ¶","Computes the element-wise logical XOR of the given input tensors. Zeros are treated as  False  and nonzeros are
treated as  True . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> torch.logical_xor(torch.tensor([True,False,True]),torch.tensor([True,False,False]))
tensor([False, False,  True])
>>> a=torch.tensor([0,1,10,0],dtype=torch.int8)
>>> b=torch.tensor([4,0,1,0],dtype=torch.int8)
>>> torch.logical_xor(a,b)
tensor([ True,  True, False, False])
>>> torch.logical_xor(a.double(),b.double())
tensor([ True,  True, False, False])
>>> torch.logical_xor(a.double(),b)
tensor([ True,  True, False, False])
>>> torch.logical_xor(a,b,out=torch.empty(4,dtype=torch.bool))
tensor([ True,  True, False, False])
",,,
"
 torch. logit ( input ,  eps ,  * ,  out )   → ¶",Alias for  torch.special.logit() .,,,,
"
 torch. hypot ( input ,  other ,  * ,  out )   → ¶","Given the legs of a right triangle, return its hypotenuse. 
 out The shapes of  input  and  other  must be
 broadcastable . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.hypot(torch.tensor([4.0]),torch.tensor([3.0,4.0,5.0]))
tensor([5.0000, 5.6569, 6.4031])
",,,
"
 torch. i0 ( input ,  * ,  out )   → ¶",Alias for  torch.special.i0() .,,,,
"
 torch. igamma ( input ,  other ,  * ,  out )   → ¶",Alias for  torch.special.gammainc() .,,,,
"
 torch. igammac ( input ,  other ,  * ,  out )   → ¶",Alias for  torch.special.gammaincc() .,,,,
"
 torch. mul ( input ,  other ,  * ,  out )   → ¶","Multiplies  input  by  other . 
 out Supports  broadcasting to a common shape ,
 type promotion , and integer, float, and complex inputs. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Examples: 
",">>> a=torch.randn(3)
>>> a
tensor([ 0.2015, -0.4255,  2.6087])
>>> torch.mul(a,100)
tensor([  20.1494,  -42.5491,  260.8663])>>> b=torch.randn(4,1)
>>> b
tensor([[ 1.1207],
        [-0.3137],
        [ 0.0700],
        [ 0.8378]])
>>> c=torch.randn(1,4)
>>> c
tensor([[ 0.5146,  0.1216, -0.5244,  2.2382]])
>>> torch.mul(b,c)
tensor([[ 0.5767,  0.1363, -0.5877,  2.5083],
        [-0.1614, -0.0382,  0.1645, -0.7021],
        [ 0.0360,  0.0085, -0.0367,  0.1567],
        [ 0.4312,  0.1019, -0.4394,  1.8753]])
",,,
"
 torch. multiply ( input ,  other ,  * ,  out ) ¶",Alias for  torch.mul() .,,,,
"
 torch. mvlgamma ( input ,  p ,  * ,  out )   → ¶",Alias for  torch.special.multigammaln() .,,,,
"
 torch. nan_to_num ( input ,  nan ,  posinf ,  neginf ,  * ,  out )   → ¶","Replaces  NaN , positive infinity, and negative infinity values in  input 
with the values specified by  nan ,  posinf , and  neginf , respectively.
By default,  NaN s are replaced with zero, positive infinity is replaced with the
greatest finite value representable by  input ’s dtype, and negative infinity
is replaced with the least finite value representable by  input ’s dtype. 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> x=torch.tensor([float('nan'),float('inf'),-float('inf'),3.14])
>>> torch.nan_to_num(x)
tensor([ 0.0000e+00,  3.4028e+38, -3.4028e+38,  3.1400e+00])
>>> torch.nan_to_num(x,nan=2.0)
tensor([ 2.0000e+00,  3.4028e+38, -3.4028e+38,  3.1400e+00])
>>> torch.nan_to_num(x,nan=2.0,posinf=1.0)
tensor([ 2.0000e+00,  1.0000e+00, -3.4028e+38,  3.1400e+00])
",,,
"
 torch. neg ( input ,  * ,  out )   → ¶","Returns a new tensor with the negative of the elements of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(5)
>>> a
tensor([ 0.0090, -0.2262, -0.0682, -0.2866,  0.3940])
>>> torch.neg(a)
tensor([-0.0090,  0.2262,  0.0682,  0.2866, -0.3940])
",,,
"
 torch. negative ( input ,  * ,  out )   → ¶",Alias for  torch.neg(),,,,
"
 torch. nextafter ( input ,  other ,  * ,  out )   → ¶","Return the next floating-point value after  input  towards  other , elementwise. The shapes of  input  and  other  must be
 broadcastable . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> eps=torch.finfo(torch.float32).eps
>>> torch.nextafter(torch.tensor([1.0,2.0]),torch.tensor([2.0,1.0]))==torch.tensor([eps+1,2-eps])
tensor([True, True])
",,,
"
 torch. polygamma ( n ,  input ,  * ,  out )   → ¶",Alias for  torch.special.polygamma() .,,,,
"
 torch. positive ( input )   → ¶","Returns  input .
Throws a runtime error if  input  is a bool tensor. 
 Parameters 
 input 
 Example: 
",">>> t=torch.randn(5)
>>> t
tensor([ 0.0090, -0.2262, -0.0682, -0.2866,  0.3940])
>>> torch.positive(t)
tensor([ 0.0090, -0.2262, -0.0682, -0.2866,  0.3940])
",,,
"
 torch. pow ( input ,  exponent ,  * ,  out )   → ¶","Takes the power of each element in  input  with  exponent  and
returns a tensor with the result. exponent  can be either a single  float  number or a  Tensor 
with the same number of elements as  input . When  exponent  is a scalar value, the operation applied is: 
 out When  exponent  is a tensor, the operation applied is: 
 out When  exponent  is a tensor, the shapes of  input 
and  exponent  must be  broadcastable . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
 
 
 
 self  is a scalar  float  value, and  exponent  is a tensor.
The returned tensor  out  is of the same shape as  exponent The operation applied is: 
 out 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([ 0.4331,  1.2475,  0.6834, -0.2791])
>>> torch.pow(a,2)
tensor([ 0.1875,  1.5561,  0.4670,  0.0779])
>>> exp=torch.arange(1.,5.)>>> a=torch.arange(1.,5.)
>>> a
tensor([ 1.,  2.,  3.,  4.])
>>> exp
tensor([ 1.,  2.,  3.,  4.])
>>> torch.pow(a,exp)
tensor([   1.,    4.,   27.,  256.])
",">>> exp=torch.arange(1.,5.)
>>> base=2
>>> torch.pow(base,exp)
tensor([  2.,   4.,   8.,  16.])
",,
"
 torch. quantized_batch_norm ( input ,  weight=None ,  bias=None ,  mean ,  var ,  eps ,  output_scale ,  output_zero_point )   → ¶","Applies batch normalization on a 4D (NCHW) quantized tensor. 
 y 
 Parameters 
 
 
 Returns 
 A quantized tensor with batch normalization applied. 
 Return type 
 Tensor 
 Example: 
",">>> qx=torch.quantize_per_tensor(torch.rand(2,2,2,2),1.5,3,torch.quint8)
>>> torch.quantized_batch_norm(qx,torch.ones(2),torch.zeros(2),torch.rand(2),torch.rand(2),0.00001,0.2,2)
tensor([[[[-0.2000, -0.2000],
      [ 1.6000, -0.2000]],     [[-0.4000, -0.4000],
      [-0.4000,  0.6000]]],    [[[-0.2000, -0.2000],
      [-0.2000, -0.2000]],     [[ 0.6000, -0.4000],
      [ 0.6000, -0.4000]]]], size=(2, 2, 2, 2), dtype=torch.quint8,
   quantization_scheme=torch.per_tensor_affine, scale=0.2, zero_point=2)
",,,
"
 torch. quantized_max_pool1d ( input ,  kernel_size ,  stride ,  padding ,  dilation ,  ceil_mode )   → ¶","Applies a 1D max pooling over an input quantized tensor composed of several input planes. 
 Parameters 
 
 
 Returns 
 A quantized tensor with max_pool1d applied. 
 Return type 
 Tensor 
 Example: 
",">>> qx=torch.quantize_per_tensor(torch.rand(2,2),1.5,3,torch.quint8)
>>> torch.quantized_max_pool1d(qx,[2])
tensor([[0.0000],
        [1.5000]], size=(2, 1), dtype=torch.quint8,
    quantization_scheme=torch.per_tensor_affine, scale=1.5, zero_point=3)
",,,
"
 torch. quantized_max_pool2d ( input ,  kernel_size ,  stride ,  padding ,  dilation ,  ceil_mode )   → ¶","Applies a 2D max pooling over an input quantized tensor composed of several input planes. 
 Parameters 
 
 
 Returns 
 A quantized tensor with max_pool2d applied. 
 Return type 
 Tensor 
 Example: 
",">>> qx=torch.quantize_per_tensor(torch.rand(2,2,2,2),1.5,3,torch.quint8)
>>> torch.quantized_max_pool2d(qx,[2,2])
tensor([[[[1.5000]],        [[1.5000]]],        [[[0.0000]],        [[0.0000]]]], size=(2, 2, 1, 1), dtype=torch.quint8,
    quantization_scheme=torch.per_tensor_affine, scale=1.5, zero_point=3)
",,,
"
 torch. rad2deg ( input ,  * ,  out )   → ¶","Returns a new tensor with each of the elements of  input 
converted from angles in radians to degrees. 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.tensor([[3.142,-3.142],[6.283,-6.283],[1.570,-1.570]])
>>> torch.rad2deg(a)
tensor([[ 180.0233, -180.0233],
        [ 359.9894, -359.9894],
        [  89.9544,  -89.9544]])
",,,
"
 torch. reciprocal ( input ,  * ,  out )   → ¶","Returns a new tensor with the reciprocal of the elements of  input 
 out 
 Note 
 Unlike NumPy’s reciprocal, torch.reciprocal supports integral inputs. Integral
inputs to reciprocal are automatically  
 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([-0.4595, -2.1219, -1.4314,  0.7298])
>>> torch.reciprocal(a)
tensor([-2.1763, -0.4713, -0.6986,  1.3702])
",,,
"
 torch. remainder ( input ,  other ,  * ,  out )   → ¶","Computes
 Python’s modulus operation 
entrywise.  The result has the same sign as the divisor  other  and its absolute value
is less than that of  other . It may also be defined in terms of  torch.div()  as 
 Supports  broadcasting to a common shape ,
 type promotion , and integer and float inputs. 
 Note 
 Complex inputs are not supported. In some cases, it is not mathematically
possible to satisfy the definition of a modulo operation with complex numbers.
See  
 
 See also 
 torch.fmod() 
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> torch.remainder(torch.tensor([-3.,-2,-1,1,2,3]),2)
tensor([ 1.,  0.,  1.,  1.,  0.,  1.])
>>> torch.remainder(torch.tensor([1,2,3,4,5]),-1.5)
tensor([ -0.5000, -1.0000,  0.0000, -0.5000, -1.0000 ])
",,,
"
 torch. round ( input ,  * ,  decimals ,  out )   → ¶","Rounds elements of  input  to the nearest integer. For integer inputs, follows the array-api convention of returning a
copy of the input tensor. 
 Note 
 This function implements the “round half to even” to
break ties when a number is equidistant from two
integers (e.g.  
 When the :attr:`decimals` argument is specified the
algorithm used is similar to NumPy’s  
 
 See also 
 torch.ceil() 
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> torch.round(torch.tensor((4.7,-2.3,9.1,-7.7)))
tensor([ 5.,  -2.,  9., -8.])>>> # Values equidistant from two integers are rounded towards the
>>> #   the nearest even value (zero is treated as even)
>>> torch.round(torch.tensor([-0.5,0.5,1.5,2.5]))
tensor([-0., 0., 2., 2.])>>> # A positive decimals argument rounds to the to that decimal place
>>> torch.round(torch.tensor([0.1234567]),decimals=3)
tensor([0.1230])>>> # A negative decimals argument rounds to the left of the decimal
>>> torch.round(torch.tensor([1200.1234567]),decimals=-3)
tensor([1000.])
",,,
"
 torch. rsqrt ( input ,  * ,  out )   → ¶","Returns a new tensor with the reciprocal of the square-root of each of
the elements of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([-0.0370,  0.2970,  1.5420, -0.9105])
>>> torch.rsqrt(a)
tensor([    nan,  1.8351,  0.8053,     nan])
",,,
"
 torch. sigmoid ( input ,  * ,  out )   → ¶",Alias for  torch.special.expit() .,,,,
"
 torch. sign ( input ,  * ,  out )   → ¶","Returns a new tensor with the signs of the elements of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.tensor([0.7,-1.2,0.,2.3])
>>> a
tensor([ 0.7000, -1.2000,  0.0000,  2.3000])
>>> torch.sign(a)
tensor([ 1., -1.,  0.,  1.])
",,,
"
 torch. sgn ( input ,  * ,  out )   → ¶","This function is an extension of torch.sign() to complex tensors.
It computes a new tensor whose elements have
the same angles as the corresponding elements of  input  and
absolute values (i.e. magnitudes) of one for complex tensors and
is equivalent to torch.sign() for non-complex tensors. 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> t=torch.tensor([3+4j,7-24j,0,1+2j])
>>> t.sgn()
tensor([0.6000+0.8000j, 0.2800-0.9600j, 0.0000+0.0000j, 0.4472+0.8944j])
",,,
"
 torch. signbit ( input ,  * ,  out )   → ¶","Tests if each element of  input  has its sign bit set or not. 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
 
 Note 
 signbit handles signed zeros, so negative zero (-0) returns True. 
",">>> a=torch.tensor([0.7,-1.2,0.,2.3])
>>> torch.signbit(a)
tensor([ False, True,  False,  False])
>>> a=torch.tensor([-0.0,0.0])
>>> torch.signbit(a)
tensor([ True,  False])
",,,
"
 torch. sin ( input ,  * ,  out )   → ¶","Returns a new tensor with the sine of the elements of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([-0.5461,  0.1347, -2.7266, -0.2746])
>>> torch.sin(a)
tensor([-0.5194,  0.1343, -0.4032, -0.2711])
",,,
"
 torch. sinc ( input ,  * ,  out )   → ¶",Alias for  torch.special.sinc() .,,,,
"
 torch. sinh ( input ,  * ,  out )   → ¶","Returns a new tensor with the hyperbolic sine of the elements of
 input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
 
 Note 
 When  
",">>> a=torch.randn(4)
>>> a
tensor([ 0.5380, -0.8632, -0.1265,  0.9399])
>>> torch.sinh(a)
tensor([ 0.5644, -0.9744, -0.1268,  1.0845])
",,,
"
 torch. sqrt ( input ,  * ,  out )   → ¶","Returns a new tensor with the square-root of the elements of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([-2.0755,  1.0226,  0.0831,  0.4806])
>>> torch.sqrt(a)
tensor([    nan,  1.0112,  0.2883,  0.6933])
",,,
"
 torch. square ( input ,  * ,  out )   → ¶","Returns a new tensor with the square of the elements of  input . 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([-2.0755,  1.0226,  0.0831,  0.4806])
>>> torch.square(a)
tensor([ 4.3077,  1.0457,  0.0069,  0.2310])
",,,
"
 torch. sub ( input ,  other ,  * ,  alpha ,  out )   → ¶","Subtracts  other , scaled by  alpha , from  input . 
 out Supports  broadcasting to a common shape ,
 type promotion , and integer, float, and complex inputs. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> a=torch.tensor((1,2))
>>> b=torch.tensor((0,1))
>>> torch.sub(a,b,alpha=2)
tensor([1, 0])
",,,
"
 torch. subtract ( input ,  other ,  * ,  alpha ,  out )   → ¶",Alias for  torch.sub() .,,,,
"
 torch. tan ( input ,  * ,  out )   → ¶","Returns a new tensor with the tangent of the elements of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([-1.2027, -1.7687,  0.4412, -1.3856])
>>> torch.tan(a)
tensor([-2.5930,  4.9859,  0.4722, -5.3366])
",,,
"
 torch. tanh ( input ,  * ,  out )   → ¶","Returns a new tensor with the hyperbolic tangent of the elements
of  input . 
 out 
 Parameters 
 input 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4)
>>> a
tensor([ 0.8986, -0.7279,  1.1745,  0.2611])
>>> torch.tanh(a)
tensor([ 0.7156, -0.6218,  0.8257,  0.2553])
",,,
"
 torch. true_divide ( dividend ,  divisor ,  * ,  out )   → ¶",Alias for  torch.div()  with  rounding_mode=None .,,,,
"
 torch. xlogy ( input ,  other ,  * ,  out )   → ¶",Alias for  torch.special.xlogy() .,,,,
"
 torch. argmax ( input )   → ¶","Returns the indices of the maximum value of all elements in the  input  tensor. This is the second value returned by  torch.max() . See its
documentation for the exact semantics of this method. 
 Note 
 If there are multiple maximal values then the indices of the first maximal value are returned. 
 
 Parameters 
 input 
 Example: 
 
 
 
 Returns the indices of the maximum values of a tensor across a dimension. This is the second value returned by  torch.max() . See its
documentation for the exact semantics of this method. 
 Parameters 
 
 
 Example: 
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 1.3398,  0.2663, -0.2686,  0.2450],
        [-0.7401, -0.8805, -0.3402, -1.1936],
        [ 0.4907, -1.3948, -1.0691, -0.3132],
        [-1.6092,  0.5419, -0.2993,  0.3195]])
>>> torch.argmax(a)
tensor(0)
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 1.3398,  0.2663, -0.2686,  0.2450],
        [-0.7401, -0.8805, -0.3402, -1.1936],
        [ 0.4907, -1.3948, -1.0691, -0.3132],
        [-1.6092,  0.5419, -0.2993,  0.3195]])
>>> torch.argmax(a,dim=1)
tensor([ 0,  2,  0,  1])
",,
"
 torch. argmin ( input ,  dim ,  keepdim )   → ¶","Returns the indices of the minimum value(s) of the flattened tensor or along a dimension This is the second value returned by  torch.min() . See its
documentation for the exact semantics of this method. 
 Note 
 If there are multiple minimal values then the indices of the first minimal value are returned. 
 
 Parameters 
 
 
 Example: 
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 0.1139,  0.2254, -0.1381,  0.3687],
        [ 1.0100, -1.1975, -0.0102, -0.4732],
        [-0.9240,  0.1207, -0.7506, -1.0213],
        [ 1.7809, -1.2960,  0.9384,  0.1438]])
>>> torch.argmin(a)
tensor(13)
>>> torch.argmin(a,dim=1)
tensor([ 2,  1,  3,  1])
>>> torch.argmin(a,dim=1,keepdim=True)
tensor([[2],
        [1],
        [3],
        [1]])
",,,
"
 torch. amax ( input ,  dim ,  keepdim ,  * ,  out )   → ¶","Returns the maximum value of each slice of the  input  tensor in the given
dimension(s)  dim . 
 Note 
 
 
 If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 0.8177,  1.4878, -0.2491,  0.9130],
        [-0.7158,  1.1775,  2.0992,  0.4817],
        [-0.0053,  0.0164, -1.3738, -0.0507],
        [ 1.9700,  1.1106, -1.0318, -1.0816]])
>>> torch.amax(a,1)
tensor([1.4878, 2.0992, 0.0164, 1.9700])
",,,
"
 torch. amin ( input ,  dim ,  keepdim ,  * ,  out )   → ¶","Returns the minimum value of each slice of the  input  tensor in the given
dimension(s)  dim . 
 Note 
 
 
 If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(4,4)
>>> a
tensor([[ 0.6451, -0.4866,  0.2987, -1.3312],
        [-0.5744,  1.2980,  1.8397, -0.2713],
        [ 0.9128,  0.9214, -1.7268, -0.2995],
        [ 0.9023,  0.4853,  0.9075, -1.6165]])
>>> torch.amin(a,1)
tensor([-1.3312, -0.5744, -1.7268, -1.6165])
",,,
"
 torch. aminmax ( input ,  * ,  dim=None ,  keepdim=False ,  out=None) ,  Tensor ) ¶","Computes the minimum and maximum values of the  input  tensor. 
 Parameters 
 input 
 Keyword Arguments 
 
 
 Returns 
 A named tuple  
 Raises 
 RuntimeError 
 
 Note 
 NaN values are propagated to the output if at least one value is NaN. 
 
 See also 
 torch.amin() 
 Example: 
",">>> torch.aminmax(torch.tensor([1,-3,5]))
torch.return_types.aminmax(
min=tensor(-3),
max=tensor(5))>>> # aminmax propagates NaNs
>>> torch.aminmax(torch.tensor([1,-3,5,torch.nan]))
torch.return_types.aminmax(
min=tensor(nan),
max=tensor(nan))>>> t=torch.arange(10).view(2,5)
>>> t
tensor([[0, 1, 2, 3, 4],
        [5, 6, 7, 8, 9]])
>>> t.aminmax(dim=0,keepdim=True)
torch.return_types.aminmax(
min=tensor([[0, 1, 2, 3, 4]]),
max=tensor([[5, 6, 7, 8, 9]]))
",,,
"
 torch. all ( input )   → ¶","Tests if all elements in  input  evaluate to  True . 
 Note 
 This function matches the behaviour of NumPy in returning
output of dtype  
 Example: 
 
 
 
 For each row of  input  in the given dimension  dim ,
returns  True  if all elements in the row evaluate to  True  and  False  otherwise. If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in
the output tensor having 1 fewer dimension than  input . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.rand(1,2).bool()
>>> a
tensor([[False, True]], dtype=torch.bool)
>>> torch.all(a)
tensor(False, dtype=torch.bool)
>>> a=torch.arange(0,3)
>>> a
tensor([0, 1, 2])
>>> torch.all(a)
tensor(False)
",">>> a=torch.rand(4,2).bool()
>>> a
tensor([[True, True],
        [True, False],
        [True, True],
        [True, True]], dtype=torch.bool)
>>> torch.all(a,dim=1)
tensor([ True, False,  True,  True], dtype=torch.bool)
>>> torch.all(a,dim=0)
tensor([ True, False], dtype=torch.bool)
",,
"
 torch. any ( input )   → ¶","Tests if any element in  input  evaluates to  True . 
 Note 
 This function matches the behaviour of NumPy in returning
output of dtype  
 Example: 
 
 
 
 For each row of  input  in the given dimension  dim ,
returns  True  if any element in the row evaluate to  True  and  False  otherwise. If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in
the output tensor having 1 fewer dimension than  input . 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.rand(1,2).bool()
>>> a
tensor([[False, True]], dtype=torch.bool)
>>> torch.any(a)
tensor(True, dtype=torch.bool)
>>> a=torch.arange(0,3)
>>> a
tensor([0, 1, 2])
>>> torch.any(a)
tensor(True)
",">>> a=torch.randn(4,2)<0
>>> a
tensor([[ True,  True],
        [False,  True],
        [ True,  True],
        [False, False]])
>>> torch.any(a,1)
tensor([ True,  True,  True, False])
>>> torch.any(a,0)
tensor([True, True])
",,
"
 torch. dist ( input ,  other ,  p )   → ¶","Returns the p-norm of ( input  -  other ) The shapes of  input  and  other  must be
 broadcastable . 
 Parameters 
 
 
 Example: 
",">>> x=torch.randn(4)
>>> x
tensor([-1.5393, -0.8675,  0.5916,  1.6321])
>>> y=torch.randn(4)
>>> y
tensor([ 0.0967, -1.0511,  0.6295,  0.8360])
>>> torch.dist(x,y,3.5)
tensor(1.6727)
>>> torch.dist(x,y,3)
tensor(1.6973)
>>> torch.dist(x,y,0)
tensor(4.)
>>> torch.dist(x,y,1)
tensor(2.6537)
",,,
"
 torch. logsumexp ( input ,  dim ,  keepdim ,  * ,  out ) ¶","Returns the log of summed exponentials of each row of the  input 
tensor in the given dimension  dim . The computation is numerically
stabilized. For summation index  j  given by  dim  and other indices  i , the result is 
 
 If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(3,3)
>>> torch.logsumexp(a,1)
tensor([1.4907, 1.0593, 1.5696])
>>> torch.dist(torch.logsumexp(a,1),torch.log(torch.sum(torch.exp(a),1)))
tensor(1.6859e-07)
",,,
"
 torch. mean ( input ,  * ,  dtype )   → ¶","Returns the mean value of all elements in the  input  tensor. 
 Parameters 
 input 
 Keyword Arguments 
 dtype 
 Example: 
 
 
 
 Returns the mean value of each row of the  input  tensor in the given
dimension  dim . If  dim  is a list of dimensions,
reduce over all of them. If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 
 
 
 See also 
 torch.nanmean() 
 Example: 
",">>> a=torch.randn(1,3)
>>> a
tensor([[ 0.2294, -0.5481,  1.3288]])
>>> torch.mean(a)
tensor(0.3367)
",">>> a=torch.randn(4,4)
>>> a
tensor([[-0.3841,  0.6320,  0.4254, -0.7384],
        [-0.9644,  1.0131, -0.6549, -1.4279],
        [-0.2951, -1.3350, -0.7694,  0.5600],
        [ 1.0842, -0.9580,  0.3623,  0.2343]])
>>> torch.mean(a,1)
tensor([-0.0163, -0.5085, -0.4599,  0.1807])
>>> torch.mean(a,1,True)
tensor([[-0.0163],
        [-0.5085],
        [-0.4599],
        [ 0.1807]])
",,
"
 torch. nanmean ( input ,  dim ,  keepdim ,  * ,  dtype ,  out )   → ¶","Computes the mean of all  non-NaN  elements along the specified dimensions. This function is identical to  torch.mean()  when there are no  NaN  values
in the  input  tensor. In the presence of  NaN ,  torch.mean()  will
propagate the  NaN  to the output whereas  torch.nanmean()  will ignore the
 NaN  values ( torch.nanmean(a)  is equivalent to  torch.mean(a[~a.isnan()]) ). If  keepdim  is  True , the output tensor is of the same size
as  input  except in the dimension(s)  dim  where it is of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in the
output tensor having 1 (or  len(dim) ) fewer dimension(s). 
 Parameters 
 
 
 Keyword Arguments 
 
 
 
 See also 
 torch.mean() 
 Example: 
",">>> x=torch.tensor([[torch.nan,1,2],[1,2,3]])
>>> x.mean()
tensor(nan)
>>> x.nanmean()
tensor(1.8000)
>>> x.mean(dim=0)
tensor([   nan, 1.5000, 2.5000])
>>> x.nanmean(dim=0)
tensor([1.0000, 1.5000, 2.5000])# If all elements in the reduced dimensions are NaN then the result is NaN
>>> torch.tensor([torch.nan]).nanmean()
tensor(nan)
",,,
"
 torch. median ( input )   → ¶","Returns the median of the values in  input . 
 Note 
 The median is not unique for  
 
 Warning 
 This function produces deterministic (sub)gradients unlike  
 
 Parameters 
 input 
 Example: 
 
 
 
 Returns a namedtuple  (values,  where  values  contains the median of each row of  input 
in the dimension  dim , and  indices  contains the index of the median values found in the dimension  dim . By default,  dim  is the last dimension of the  input  tensor. If  keepdim  is  True , the output tensors are of the same size
as  input  except in the dimension  dim  where they are of size 1.
Otherwise,  dim  is squeezed (see  torch.squeeze() ), resulting in
the outputs tensor having 1 fewer dimension than  input . 
 Note 
 The median is not unique for  
 
 Warning 
 indices 
 
 Parameters 
 
 
 Keyword Arguments 
 out 
 Example: 
",">>> a=torch.randn(1,3)
>>> a
tensor([[ 1.5219, -1.5212,  0.2202]])
>>> torch.median(a)
tensor(0.2202)
",">>> a=torch.randn(4,5)
>>> a
tensor([[ 0.2505, -0.3982, -0.9948,  0.3518, -1.3131],
        [ 0.3180, -0.6993,  1.0436,  0.0438,  0.2270],
        [-0.2751,  0.7303,  0.2192,  0.3321,  0.2488],
        [ 1.0778, -1.9510,  0.7048,  0.4742, -0.7125]])
>>> torch.median(a,1)
torch.return_types.median(values=tensor([-0.3982,  0.2270,  0.2488,  0.4742]), indices=tensor([1, 4, 4, 3]))
",,
